company,code,average_return_percent,simulation_result
ERIS LIFESCIENCES LTD,540596,0.3224167533141404,"[{'investment': 99829.8, 'shares': 189, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 528.2}, {'investment': 132016.59999999998, 'shares': 189, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 697.6}]"
DEEPAK FERTILISERS  PETROCHEMICALS CORPN LTD,500645,0.31929023814707214,"[{'investment': 99906.75, 'shares': 855, 'entry': True, 'exit': False, 'date': '01-07-2020', 'close': 116.85}, {'investment': 131806.0, 'shares': 855, 'entry': False, 'exit': True, 'date': '01-10-2020', 'close': 154.05}]"
AAVAS FINANCIERS LTD,541988,0.3182682547798294,"[{'investment': 99258.25, 'shares': 65, 'entry': True, 'exit': False, 'date': '23-11-2020', 'close': 1527.05}, {'investment': 130849.0, 'shares': 65, 'entry': False, 'exit': True, 'date': '05-02-2021', 'close': 2001.65}]"
MAHANAGAR GAS LTD,539957,0.29552462721918343,"[{'investment': 99850.90000000001, 'shares': 122, 'entry': True, 'exit': False, 'date': '24-09-2020', 'close': 818.45}, {'investment': 129359.29999999997, 'shares': 122, 'entry': False, 'exit': True, 'date': '01-12-2020', 'close': 1059.1}]"
MMTC LTD,513377,0.290763459474812,"[{'investment': 99990.90000000001, 'shares': 2169, 'entry': True, 'exit': False, 'date': '07-05-2021', 'close': 46.1}, {'investment': 129064.59999999999, 'shares': 2169, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 59.5}]"
NLC INDIA LTD,513683,0.27838996043781017,"[{'investment': 99956.55, 'shares': 2129, 'entry': True, 'exit': False, 'date': '08-07-2020', 'close': 46.95}, {'investment': 127783.45, 'shares': 2129, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 60.0}]"
NAVNEET EDUCATION LTD,508989,0.27768484576843677,"[{'investment': 99953.59999999999, 'shares': 1432, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 69.8}, {'investment': 127709.20000000001, 'shares': 1432, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 89.15}]"
SJVN LTD,533206,0.2718956130771662,"[{'investment': 99997.2, 'shares': 4728, 'entry': True, 'exit': False, 'date': '12-06-2020', 'close': 21.15}, {'investment': 127186.0, 'shares': 4728, 'entry': False, 'exit': True, 'date': '04-03-2021', 'close': 26.9}]"
DILIP BUILDCON LTD,540047,0.270818186006173,"[{'investment': 99852.6, 'shares': 361, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 276.6}, {'investment': 126894.5, 'shares': 361, 'entry': False, 'exit': True, 'date': '25-11-2020', 'close': 351.1}]"
NHPC LTD,533098,0.26495149514951494,"[{'investment': 99990.0, 'shares': 4950, 'entry': True, 'exit': False, 'date': '21-10-2020', 'close': 20.2}, {'investment': 126482.5, 'shares': 4950, 'entry': False, 'exit': True, 'date': '24-05-2021', 'close': 25.55}]"
MAHINDRA LOGISTICS LTD,540768,0.264519746855724,"[{'investment': 99863.99999999999, 'shares': 360, 'entry': True, 'exit': False, 'date': '29-06-2020', 'close': 277.4}, {'investment': 126280.0, 'shares': 360, 'entry': False, 'exit': True, 'date': '01-10-2020', 'close': 350.4}]"
PNC INFRATECH LTD,539150,0.2615680317643341,"[{'investment': 99945.9, 'shares': 914, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 109.35}, {'investment': 141358.5, 'shares': 914, 'entry': False, 'exit': True, 'date': '24-08-2020', 'close': 154.6}, {'investment': 141277.5, 'shares': 910, 'entry': True, 'exit': False, 'date': '29-09-2020', 'close': 155.25}, {'investment': 156646.5, 'shares': 910, 'entry': False, 'exit': True, 'date': '18-11-2020', 'close': 172.05}]"
VARDHMAN TEXTILES LTD,502986,0.23916176445375434,"[{'investment': 99155.9, 'shares': 94, 'entry': True, 'exit': False, 'date': '22-01-2021', 'close': 1054.85}, {'investment': 122870.20000000001, 'shares': 94, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1298.15}]"
TV BROADCAST LTD,532800,0.2265538344903598,"[{'investment': 99983.3, 'shares': 2998, 'entry': True, 'exit': False, 'date': '04-05-2021', 'close': 33.35}, {'investment': 122634.9, 'shares': 2998, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 40.9}]"
UJJIVAN FINANCIAL SERVICES LTD,539874,0.22361576811965322,"[{'investment': 99968.8, 'shares': 556, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 179.8}, {'investment': 122323.4, 'shares': 556, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 219.95}]"
ALKYL AMINES CHEMICALS LTD,506767,0.22253557863162862,"[{'investment': 98148.8, 'shares': 32, 'entry': True, 'exit': False, 'date': '19-10-2020', 'close': 3067.15}, {'investment': 119990.4, 'shares': 32, 'entry': False, 'exit': True, 'date': '14-05-2021', 'close': 3691.85}]"
ICICI SECURITIES LTD,541179,0.22204105698883345,"[{'investment': 99724.79999999999, 'shares': 212, 'entry': True, 'exit': False, 'date': '28-09-2020', 'close': 470.4}, {'investment': 121867.8, 'shares': 212, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 573.55}]"
CIPLA LTD,500087,0.2161210471145468,"[{'investment': 99389.4, 'shares': 148, 'entry': True, 'exit': False, 'date': '23-07-2020', 'close': 671.55}, {'investment': 139538.2, 'shares': 148, 'entry': False, 'exit': True, 'date': '16-04-2021', 'close': 938.7}, {'investment': 138690.0, 'shares': 150, 'entry': True, 'exit': False, 'date': '20-05-2021', 'close': 924.6}, {'investment': 142613.2, 'shares': 150, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 945.1}]"
FINOLEX CABLES LTD,500144,0.19758857577760422,"[{'investment': 99858.0, 'shares': 264, 'entry': True, 'exit': False, 'date': '08-04-2021', 'close': 378.25}, {'investment': 119588.8, 'shares': 264, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 452.45}]"
CENTURY PLYBOARDS INDIA LTD,532548,0.19650630091764418,"[{'investment': 99842.6, 'shares': 286, 'entry': True, 'exit': False, 'date': '06-05-2021', 'close': 349.1}, {'investment': 119462.29999999999, 'shares': 286, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 417.15}]"
KALPATARU POWER TRANSMISSION LTD,522287,0.19043388434919845,"[{'investment': 99951.75, 'shares': 279, 'entry': True, 'exit': False, 'date': '11-02-2021', 'close': 358.25}, {'investment': 118985.95, 'shares': 279, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 426.3}]"
SUMITOMO CHEMICAL INDIA PVT LTD,542920,0.18748248248248262,"[{'investment': 99900.0, 'shares': 370, 'entry': True, 'exit': False, 'date': '25-03-2021', 'close': 270.0}, {'investment': 118629.50000000001, 'shares': 370, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 320.35}]"
ALKEM LABORATORIES LTD,539523,0.1836140026526265,"[{'investment': 99524.0, 'shares': 40, 'entry': True, 'exit': False, 'date': '24-07-2020', 'close': 2488.1}, {'investment': 117798.0, 'shares': 40, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 2933.05}]"
INDIAN HOTELS CO LTD,500850,0.17589998448518346,"[{'investment': 99904.5, 'shares': 894, 'entry': True, 'exit': False, 'date': '05-05-2021', 'close': 111.75}, {'investment': 117477.70000000001, 'shares': 894, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 131.3}]"
HERO MOTOCORP LTD,500182,0.1711042654505551,"[{'investment': 99333.0, 'shares': 39, 'entry': True, 'exit': False, 'date': '01-07-2020', 'close': 2547.0}, {'investment': 116329.29999999999, 'shares': 39, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 2965.7}]"
KNR CONSTRUCTIONS LTD,532942,0.1650377836779315,"[{'investment': 99884.40000000001, 'shares': 506, 'entry': True, 'exit': False, 'date': '03-05-2021', 'close': 197.4}, {'investment': 116369.09999999999, 'shares': 506, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 229.75}]"
