code,company,actual,minimum,maximum,min,max
532636,IIFL FINANCE LTD,-0.0267099097315772,-0.0257584721744196,-0.0404738078705014,-0.0009514375571575973,-0.013763898138924202
500164,GODREJ INDUSTRIES LTD,-0.0301644387821319,-0.0281344840862525,-0.0436002707475517,-0.0020299546958793997,-0.013435831965419798
533023,WABCO INDIA LTD,-0.0477472777723077,-0.0477472777723077,-0.0609263941514681,0.0,-0.013179116379160395
533155,JUBILANT FOODWORKS LTD,-0.0566704724234389,-0.0542705205881902,-0.0691214924364002,-0.002399951835248701,-0.012451020012961299
508989,NAVNEET EDUCATION LTD,-0.0299657010497758,-0.0299657010497758,-0.0418474062900982,0.0,-0.0118817052403224
500850,INDIAN HOTELS CO LTD,-0.0285766519234716,-0.0285766519234716,-0.040325806664764,0.0,-0.0117491547412924
505509,RESPONSIVE INDUSTRIES LTD,-0.053043139326947,-0.053043139326947,-0.0642802539912372,0.0,-0.011237114664290199
533098,NHPC LTD,-0.0328680346248699,-0.0328680346248699,-0.0428816725202364,0.0,-0.010013637895366495
500266,MAHARASHTRA SCOOTERS LTD,-0.0169701062898451,-0.0158509698571757,-0.0265921311748289,-0.0011191364326694,-0.009622024884983798
532929,BRIGADE ENTERPRISES LTD,-0.0127235644154728,-0.0111230740257018,-0.0212507577184651,-0.0016004903897709997,-0.008527193302992299
506076,GRINDWELL NORTON LTD,-0.0425839299779543,-0.0425839299779543,-0.050473591246644,0.0,-0.007889661268689702
532515,TV TODAY NETWORK LTD,-0.0387638879801699,-0.0387638879801699,-0.046629892491727,0.0,-0.007866004511557098
506943,JB CHEMICALS  PHARMACEUTICALS LTD,-0.0319891216992134,-0.0316650738446818,-0.0386539684407323,-0.0003240478545315992,-0.006664846741518904
532498,SHRIRAM CITY UNION FINANCE LTD,-0.0147820767435705,-0.010908282218794,-0.0212446367095128,-0.0038737945247765,-0.0064625599659423
508869,APOLLO HOSPITALS ENTERPRISE LTD,-0.0290512383575742,-0.026998756014833,-0.035056387058797,-0.002052482342741198,-0.006005148701222804
532953,VGUARD INDUSTRIES LTD,-0.0068960584233693,-0.0068960584233693,-0.0122301682624225,0.0,-0.0053341098390532
532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD,-0.0219503538986584,-0.0219503538986584,-0.0269358399268652,0.0,-0.004985486028206799
539450,S H KELKAR AND COMPANY LTD,-0.0484992394078853,-0.0336281552954206,-0.0526512823736479,-0.014871084112464704,-0.0041520429657625965
534804,CARE RATINGS LTD,-0.0097187396809956,-0.0097187396809956,-0.0138591569400771,0.0,-0.0041404172590815
522287,KALPATARU POWER TRANSMISSION LTD,-0.0128798470053208,-0.0116315713530305,-0.0168159464292495,-0.0012482756522903,-0.0039360994239287
500710,AKZO NOBEL INDIA LTD,-0.0140491918875253,-0.0140491918875253,-0.0177384584385506,0.0,-0.0036892665510253
