code,company,actual,predicted,minimum,maximum
539871,THYROCARE TECHNOLOGIES LTD,0.09375727050710154,0.10740713033580813,0.09040146943656037,0.09866488515422538
539874,UJJIVAN FINANCIAL SERVICES LTD,0.09112503836005591,0.16690452496181116,0.08023779016498692,0.10428192100087784
513434,TATA METALIKS LTD,0.08998231123752402,0.13316443527900168,0.07288414656697582,0.10241689085756621
500411,THERMAX LTD,0.08895121658618682,2.3926572959843977,,0.2938686750056524
540153,ENDURANCE TECHNOLOGIES LTD,0.08874012004398507,0.25346911626253055,0.08497690088691078,0.1046711402328749
541956,IRCON INTERNATIONAL LTD,0.08852557432162014,0.19473682950386356,,0.0979279866860484
533151,DB CORPORATION LTD,0.08798626452790338,0.09675616072771924,0.08677387196117323,0.09218484370748979
521064,TRIDENT LTD,0.08714732229160543,0.18884399010100547,0.060434587668141415,0.10993069467201222
541195,MISHRA DHATU NIGAM LTD,0.0842752819361001,0.11550993695603148,0.08355550062651139,0.08752834882511316
532942,KNR CONSTRUCTIONS LTD,0.08419126280690442,0.12008688107757665,0.0784529574972673,0.09210074282021236
500400,TATA POWER CO LTD,0.08350724883496688,0.10943038182753992,0.076339831433753,0.09101967602481958
532843,FORTIS HEALTHCARE LTD,0.08324972461346593,0.27190077692500564,,0.09895487276644216
533155,JUBILANT FOODWORKS LTD,0.08137440965573019,0.38537450421156066,0.06962192529994371,0.11490900966951437
540935,GALAXY SURFACTANTS LTD,0.08076985058078767,0.07886383980252154,0.07530366515948214,0.08468485002947762
539150,PNC INFRATECH LTD,0.08067679565992428,0.15110065099445869,0.06866088327277059,0.09141479046735028
542066,ADANI TOTAL GAS LTD,0.08012166657336518,0.18121840890757288,,0.08822170605431999
532652,KARNATAKA BANK LTD,0.0759096463480062,0.17894112812468743,0.07044414624230083,0.08594516026739916
532702,GUJARAT STATE PETRONET LTD,0.07587341669696417,0.1172058725548006,,0.07900945134337467
532523,BIOCON LTD,0.07326243706403761,0.12453979011341122,0.07004534922616294,0.07958843258932535
