SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
531638,SURAJ LTD   ,XT,Q,60.35,60.35,57.65,60.35,60.35,57.6,12,364,21698.0,,2021-07-19
531642,MARICOLTD   ,A ,Q,524.0,530.75,521.3,525.6,527.2,525.5,2922,262578,137902043.0,,2021-07-19
531644,TOKYO FINANC,X ,Q,11.0,11.2,11.0,11.2,11.2,11.0,7,1050,11580.0,,2021-07-19
531648,MAHAVIRIND  ,X ,Q,1.42,1.42,1.42,1.42,1.42,1.36,10,3633,5158.0,,2021-07-19
531650,VAX HSG.FIN.,Z ,Q,1.05,1.05,1.05,1.05,1.05,1.05,3,333,349.0,,2021-07-19
531652,THIRDWAVE FI,XT,Q,33.1,33.15,30.05,33.15,33.15,31.6,8,462,14913.0,,2021-07-19
531658,TRIJAL IND. ,XT,Q,5.55,5.8,5.43,5.8,5.8,5.53,20,34959,197851.0,,2021-07-19
531661,HITTCO TOOLS,XT,Q,4.21,4.21,3.81,3.84,3.84,4.01,8,670,2608.0,,2021-07-19
531663,YUVRAAJHPL  ,XT,Q,1.1,1.1,1.1,1.1,1.1,1.1,3,6400,7040.0,,2021-07-19
531667,RRMETAL     ,X ,Q,28.35,28.35,25.65,28.3,28.3,27.0,15,2344,64315.0,,2021-07-19
531668,VISION CORPO,X ,Q,2.13,2.13,2.11,2.13,2.13,2.04,22,6592,14034.0,,2021-07-19
531672,INANI SEC.  ,X ,Q,16.4,16.4,15.5,16.4,16.4,15.65,28,688,11207.0,,2021-07-19
531680,MAYUR LEATHR,XT,Q,10.09,10.09,10.09,10.09,10.09,10.09,1,1,10.0,,2021-07-19
531682,CAT TECHN.  ,Z ,Q,0.85,0.85,0.85,0.85,0.85,0.81,39,38792,32973.0,,2021-07-19
531686,ADVIK LABORS,XT,Q,1.11,1.11,1.11,1.11,1.11,1.11,2,700,777.0,,2021-07-19
531688,PRITHVIEXCH ,X ,Q,27.5,31.45,27.4,29.5,29.5,27.4,305,34411,1005054.0,,2021-07-19
531694,RAINBOW FOUN,X ,Q,16.35,16.85,16.3,16.85,16.85,17.15,4,653,10670.0,,2021-07-19
531716,TRICOMFRU   ,X ,Q,2.95,2.95,2.95,2.95,2.95,3.1,10,2196,6478.0,,2021-07-19
531717,VIDHIING    ,B ,Q,253.1,277.0,251.3,266.7,270.0,258.65,1155,21792,5776835.0,,2021-07-19
531719,BHAGIRA.CHEM,X ,Q,720.0,720.5,691.3,717.05,719.0,712.8,272,22659,16053910.0,,2021-07-19
531723,STAMPEDE CAP,T ,Q,0.65,0.65,0.65,0.65,0.65,0.68,39,355906,231338.0,,2021-07-19
531726,PANCHSHEEL O,X ,Q,103.0,103.0,96.5,97.65,97.65,102.2,83,6436,644239.0,,2021-07-19
531727,MENON PISTON,X ,Q,28.4,28.8,27.6,27.9,28.15,28.0,379,98323,2784471.0,,2021-07-19
531737,GREENCREST  ,X ,Q,6.28,6.39,6.28,6.33,6.33,6.27,253,27388,173182.0,,2021-07-19
531739,GENNEX LAB  ,X ,Q,10.39,10.89,10.05,10.89,10.89,10.38,2078,1516080,16240060.0,,2021-07-19
531744,GINI SILK MI,X ,Q,60.2,60.2,56.05,56.35,56.35,59.0,20,1555,88179.0,,2021-07-19
531746,PRAJAY ENGS.,B ,Q,18.4,18.9,17.65,18.86,18.66,18.0,504,227918,4274780.0,,2021-07-19
531752,BIOGEN      ,XT,Q,0.78,0.78,0.72,0.78,0.78,0.75,13484,52534172,40104960.0,,2021-07-19
531758,G.K.CONSULT.,X ,Q,3.15,3.15,3.15,3.15,3.15,3.0,1,481,1515.0,,2021-07-19
531761,APOLLOPIPES ,A ,Q,999.55,1023.2,986.9,994.85,994.45,989.75,324,1489,1490023.0,,2021-07-19
531762,UNJHA FORMUL,X ,Q,10.15,10.15,9.65,9.71,9.71,10.15,25,5253,51014.0,,2021-07-19
531768,POLY MEDICUR,A ,Q,946.3,977.35,946.3,972.45,975.0,970.0,876,4528,4383231.0,,2021-07-19
531769,PFL INFOTECH,Z ,Q,3.38,3.54,3.22,3.42,3.54,3.38,19,9815,33789.0,,2021-07-19
531778,KACHCHHMIN  ,X ,Q,6.96,6.96,6.96,6.96,6.96,6.63,3,508,3535.0,,2021-07-19
531784,KCLINFRA    ,XT,Q,4.92,4.92,4.92,4.92,4.92,4.69,45,16659,81962.0,,2021-07-19
531795,ATUL AUTO   ,B ,Q,218.0,230.7,214.55,223.0,223.0,218.5,1306,47033,10421941.0,,2021-07-19
531802,PRERNA INFR ,X ,Q,18.05,19.0,17.5,18.15,18.1,18.4,52,4181,76128.0,,2021-07-19
531810,METAL COATIN,X ,Q,40.95,42.8,39.75,40.65,40.1,39.25,75,14134,592389.0,,2021-07-19
531812,SGN TELECOMS,XT,Q,0.63,0.63,0.63,0.63,0.63,0.6,181,273790,172487.0,,2021-07-19
531813,GANGAPAPERS ,XT,Q,79.15,79.15,79.15,79.15,79.15,75.4,24,1379,109147.0,,2021-07-19
531814,TIRUPATI SAR,X ,Q,7.0,7.3,7.0,7.13,7.12,7.19,51,13571,96641.0,,2021-07-19
531819,NUWAY ORGANI,XT,Q,8.86,8.86,8.86,8.86,8.86,8.44,5,100,886.0,,2021-07-19
531821,MUNOTH FIN. ,X ,Q,9.58,9.58,9.58,9.58,9.58,10.08,5,86,823.0,,2021-07-19
531822,RODIUM      ,X ,Q,63.0,65.85,63.0,65.85,65.85,63.95,2,4,257.0,,2021-07-19
531841,INDUSFINL   ,X ,Q,7.87,7.87,7.87,7.87,7.87,7.87,1,350,2754.0,,2021-07-19
531842,LAHOTI OVER.,X ,Q,26.45,27.2,26.3,27.05,27.05,26.45,115,21744,584195.0,,2021-07-19
531845,ZENITHSTL   ,T ,Q,1.29,1.29,1.29,1.29,1.29,1.23,17,10403,13419.0,,2021-07-19
531847,ASIAN STAR  ,B ,Q,930.0,930.0,867.05,900.1,912.0,912.5,35,273,245684.0,,2021-07-19
531859,ORIRAIL     ,X ,Q,57.0,63.9,56.0,61.15,60.85,56.75,612,124166,7526789.0,,2021-07-19
531861,JOINDRE CAPI,X ,Q,32.0,33.4,31.05,33.4,33.4,30.4,566,187334,6145762.0,,2021-07-19
531862,BHARATAGRI  ,X ,Q,158.0,162.7,157.1,158.4,158.0,158.15,44,903,143631.0,,2021-07-19
531867,UNITECH INTE,XT,Q,4.05,4.05,4.05,4.05,4.05,4.05,2,300,1215.0,,2021-07-19
