Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2014-08-06,28.55,28.55,28.55,28.55,28.4,5.0,2.0,142.0,5.0,100.0,0.0,0.0,1407283200.0
2014-08-05,28.05,28.05,28.05,28.05,28.043478260869563,23.0,4.0,645.0,13.0,56.52,0.0,0.0,1407196800.0
2014-08-04,28.6,28.6,27.55,27.55,27.883116883116884,308.0,9.0,8588.0,308.0,100.0,1.05,-1.05,1407110400.0
2014-08-01,28.1,28.1,28.1,28.1,28.1,1000.0,2.0,28100.0,1000.0,100.0,0.0,0.0,1406851200.0
2014-07-31,27.65,27.65,27.65,27.65,27.65,600.0,4.0,16590.0,600.0,100.0,0.0,0.0,1406764800.0
2014-07-28,28.25,28.25,28.2,28.2,28.21342925659473,417.0,10.0,11765.0,417.0,100.0,0.05,-0.05,1406505600.0
2014-07-25,28.25,28.75,28.25,28.75,28.269230769230766,52.0,6.0,1470.0,52.0,100.0,0.5,0.5,1406246400.0
2014-07-24,28.25,28.25,28.25,28.25,28.142857142857142,7.0,5.0,197.0,7.0,100.0,0.0,0.0,1406160000.0
2014-07-23,27.75,27.75,27.75,27.75,27.0,1.0,2.0,27.0,1.0,100.0,0.0,0.0,1406073600.0
2014-07-22,27.85,27.85,27.3,27.3,27.33333333333333,12.0,8.0,328.0,12.0,100.0,0.55,-0.55,1405987200.0
2014-07-21,27.85,27.85,27.8,27.85,27.83190883190884,351.0,14.0,9769.0,351.0,100.0,0.05,0.0,1405900800.0
2014-07-18,27.35,27.35,27.35,27.35,27.35,20.0,2.0,547.0,20.0,100.0,0.0,0.0,1405641600.0
2014-07-17,26.9,26.9,26.9,26.9,26.9,50.0,2.0,1345.0,50.0,100.0,0.0,0.0,1405555200.0
2014-07-16,26.45,26.45,26.45,26.45,26.423076923076923,26.0,4.0,687.0,26.0,100.0,0.0,0.0,1405468800.0
2014-07-15,26.95,26.95,26.7,26.95,26.94733656174334,1652.0,12.0,44517.0,1652.0,100.0,0.25,0.0,1405382400.0
2014-07-14,27.2,27.95,27.2,27.2,27.47457627118644,236.0,12.0,6484.0,236.0,100.0,0.75,0.0,1405296000.0
