company,code,average_return_percent,simulation_result
GUJARAT STATE FERTILIZERS  CHEMICALS LTD,500690,1.064312597686777,"[{'investment': 99968.75, 'shares': 2285, 'entry': True, 'exit': False, 'date': '27-04-2020', 'close': 43.75}, {'investment': 206366.75, 'shares': 2285, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 90.3}]"
GATEWAY DISTRIPARKS LTD,532622,1.0230382001781406,"[{'investment': 99921.0, 'shares': 1140, 'entry': True, 'exit': False, 'date': '05-05-2020', 'close': 87.65}, {'investment': 202144.0, 'shares': 1140, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 177.25}]"
RATNAMANI METALS  TUBES LTD,520111,1.0062062089322812,"[{'investment': 99142.65, 'shares': 103, 'entry': True, 'exit': False, 'date': '15-11-2019', 'close': 962.55}, {'investment': 198900.6, 'shares': 103, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1922.75}]"
KNR CONSTRUCTIONS LTD,532942,0.9865650505161707,"[{'investment': 99918.5, 'shares': 982, 'entry': True, 'exit': False, 'date': '07-08-2020', 'close': 101.75}, {'investment': 198494.6, 'shares': 982, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 202.05}]"
INDIA TOURISM DEVP CORPN LTD,532189,0.96484731030596,"[{'investment': 99897.05, 'shares': 583, 'entry': True, 'exit': False, 'date': '02-08-2019', 'close': 171.35}, {'investment': 196282.45, 'shares': 583, 'entry': False, 'exit': True, 'date': '12-04-2021', 'close': 336.5}]"
HOUSING  URBAN DEVELOPMENT CORPN LTD,540530,0.943117889736217,"[{'investment': 99987.5, 'shares': 4750, 'entry': True, 'exit': False, 'date': '07-04-2020', 'close': 21.05}, {'investment': 194287.5, 'shares': 4750, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 40.9}]"
BHARTI AIRTEL LTD,532454,0.8890074492653431,"[{'investment': 99808.5, 'shares': 330, 'entry': True, 'exit': False, 'date': '02-11-2018', 'close': 302.45}, {'investment': 188539.0, 'shares': 330, 'entry': False, 'exit': True, 'date': '27-01-2021', 'close': 570.75}]"
AJANTA PHARMA LTD,532331,0.8728735086126547,"[{'investment': 99353.8, 'shares': 103, 'entry': True, 'exit': False, 'date': '16-10-2019', 'close': 964.6}, {'investment': 186077.09999999998, 'shares': 103, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1800.3}]"
DHANUKA AGRITECH LTD,507717,0.8688266032777677,"[{'investment': 99702.0, 'shares': 261, 'entry': True, 'exit': False, 'date': '25-06-2019', 'close': 382.0}, {'investment': 186325.75, 'shares': 261, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 712.75}]"
STRIDES PHARMA SCIENCE LTD,532531,0.8681148402231258,"[{'investment': 99836.1, 'shares': 207, 'entry': True, 'exit': False, 'date': '03-05-2019', 'close': 482.3}, {'investment': 186505.30000000002, 'shares': 207, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 900.2}]"
NBCC INDIA LTD,534309,0.8531478531478534,"[{'investment': 99999.9, 'shares': 4662, 'entry': True, 'exit': False, 'date': '21-04-2020', 'close': 21.45}, {'investment': 185314.6, 'shares': 4662, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 39.75}]"
LT TECHNOLOGY SERVICES LTD,540115,0.8449386518505098,"[{'investment': 99351.0, 'shares': 70, 'entry': True, 'exit': False, 'date': '12-03-2020', 'close': 1419.3}, {'investment': 183296.5, 'shares': 70, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2609.25}]"
DEEPAK FERTILISERS  PETROCHEMICALS CORPN LTD,500645,0.8171630685595351,"[{'investment': 99957.65, 'shares': 793, 'entry': True, 'exit': False, 'date': '24-06-2019', 'close': 126.05}, {'investment': 181639.35, 'shares': 793, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 229.0}]"
CIPLA LTD,500087,0.8061128007981948,"[{'investment': 99574.65000000001, 'shares': 189, 'entry': True, 'exit': False, 'date': '22-03-2019', 'close': 526.85}, {'investment': 179843.05, 'shares': 189, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 949.3}]"
TASTY BITE EATABLES LTD,519091,0.8023819659834988,"[{'investment': 98658.0, 'shares': 12, 'entry': True, 'exit': False, 'date': '23-05-2019', 'close': 8221.5}, {'investment': 177819.40000000002, 'shares': 12, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 14706.45}]"
TITAN COMPANY LTD,500114,0.7731716904964696,"[{'investment': 99210.5, 'shares': 115, 'entry': True, 'exit': False, 'date': '03-04-2020', 'close': 862.7}, {'investment': 175917.25, 'shares': 115, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1522.85}]"
TVS SRICHAKRA LTD,509243,0.7367093715323313,"[{'investment': 99130.0, 'shares': 100, 'entry': True, 'exit': False, 'date': '20-05-2020', 'close': 991.3}, {'investment': 172160.0, 'shares': 100, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1712.9}]"
AFFLE INDIA LTD,542752,0.7214434391388836,"[{'investment': 97598.84999999999, 'shares': 31, 'entry': True, 'exit': False, 'date': '20-11-2020', 'close': 3148.35}, {'investment': 168010.90000000002, 'shares': 31, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 5342.25}]"
LARSEN  TOUBRO LTD,500510,0.7191917372695869,"[{'investment': 99942.75, 'shares': 129, 'entry': True, 'exit': False, 'date': '01-04-2020', 'close': 774.75}, {'investment': 171820.75, 'shares': 129, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1331.5}]"
REDINGTON INDIA LTD,532805,0.6845261728625238,"[{'investment': 99993.5, 'shares': 1135, 'entry': True, 'exit': False, 'date': '03-01-2019', 'close': 88.1}, {'investment': 141030.25, 'shares': 1135, 'entry': False, 'exit': True, 'date': '11-02-2020', 'close': 124.25}, {'investment': 140974.65, 'shares': 1569, 'entry': True, 'exit': False, 'date': '01-07-2020', 'close': 89.85}, {'investment': 276121.15, 'shares': 1569, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 175.95}]"
BALRAMPUR CHINI MILLS LTD,500038,0.6831957245263695,"[{'investment': 99993.6, 'shares': 672, 'entry': True, 'exit': False, 'date': '26-11-2019', 'close': 148.8}, {'investment': 168308.8, 'shares': 672, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 250.45}]"
CERA SANITARYWARE LTD,532443,0.6830776762733592,"[{'investment': 98452.2, 'shares': 42, 'entry': True, 'exit': False, 'date': '07-02-2019', 'close': 2344.1}, {'investment': 165702.7, 'shares': 42, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 3908.45}]"
VARUN BEVERAGES LTD,540180,0.6675739173458499,"[{'investment': 99641.70000000001, 'shares': 171, 'entry': True, 'exit': False, 'date': '23-03-2020', 'close': 582.7}, {'investment': 166159.9, 'shares': 171, 'entry': False, 'exit': True, 'date': '18-12-2020', 'close': 969.6}]"
DISHMAN CARBOGEN AMCIS LTD,540701,0.6176567097137564,"[{'investment': 99960.3, 'shares': 1317, 'entry': True, 'exit': False, 'date': '06-05-2020', 'close': 75.9}, {'investment': 161701.45, 'shares': 1317, 'entry': False, 'exit': True, 'date': '10-06-2020', 'close': 122.75}]"
CEAT LTD,500878,0.6154996168543997,"[{'investment': 99831.5, 'shares': 115, 'entry': True, 'exit': False, 'date': '21-08-2020', 'close': 868.1}, {'investment': 161277.75, 'shares': 115, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1400.95}]"
MULTI COMMODITY EXCHANGE INDIA,534091,0.6033103781563367,"[{'investment': 99324.0, 'shares': 124, 'entry': True, 'exit': False, 'date': '19-03-2019', 'close': 801.0}, {'investment': 159247.19999999998, 'shares': 124, 'entry': False, 'exit': True, 'date': '08-01-2020', 'close': 1278.8}]"
INDIAMART INTERMESH LTD,542726,0.5967711060985962,"[{'investment': 95339.15000000001, 'shares': 19, 'entry': True, 'exit': False, 'date': '16-10-2020', 'close': 5017.85}, {'investment': 152234.8, 'shares': 19, 'entry': False, 'exit': True, 'date': '15-01-2021', 'close': 7767.05}]"
SUNDRAM FASTENERS LTD,500403,0.5946379072463623,"[{'investment': 99839.75, 'shares': 235, 'entry': True, 'exit': False, 'date': '05-09-2019', 'close': 424.85}, {'investment': 159208.25, 'shares': 235, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 676.8}]"
TCI EXPRESS LTD,540212,0.5861025830774925,"[{'investment': 99996.99999999999, 'shares': 190, 'entry': True, 'exit': False, 'date': '03-04-2020', 'close': 526.3}, {'investment': 158605.5, 'shares': 190, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 834.75}]"
ICICI BANK LTD,532174,0.5860456078780154,"[{'investment': 99842.40000000001, 'shares': 283, 'entry': True, 'exit': False, 'date': '23-04-2020', 'close': 352.8}, {'investment': 158354.59999999998, 'shares': 283, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 559.0}]"
EPL LTD,500135,0.5842702023637105,"[{'investment': 99978.4, 'shares': 752, 'entry': True, 'exit': False, 'date': '26-07-2019', 'close': 132.95}, {'investment': 158392.8, 'shares': 752, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 210.6}]"
TEAMLEASE SERVICES LTD,539658,0.5830194829261651,"[{'investment': 98481.1, 'shares': 58, 'entry': True, 'exit': False, 'date': '26-03-2020', 'close': 1697.95}, {'investment': 155897.49999999997, 'shares': 58, 'entry': False, 'exit': True, 'date': '14-12-2020', 'close': 2661.7}]"
INDRAPRASTHA GAS LTD,532514,0.582005384395467,"[{'investment': 99862.65000000001, 'shares': 313, 'entry': True, 'exit': False, 'date': '18-07-2019', 'close': 319.05}, {'investment': 157983.25, 'shares': 313, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 504.3}]"
BLUE STAR LTD,500067,0.5755024896007201,"[{'investment': 99574.2, 'shares': 188, 'entry': True, 'exit': False, 'date': '25-03-2020', 'close': 529.65}, {'investment': 156879.40000000002, 'shares': 188, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 832.2}]"
WHIRLPOOL OF INDIA LTD,500238,0.5753259299865605,"[{'investment': 99783.70000000001, 'shares': 73, 'entry': True, 'exit': False, 'date': '02-11-2018', 'close': 1366.9}, {'investment': 157191.84999999998, 'shares': 73, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2150.35}]"
TATA MOTORS LTD,500570,0.5693579637643658,"[{'investment': 99998.25, 'shares': 713, 'entry': True, 'exit': False, 'date': '09-09-2020', 'close': 140.25}, {'investment': 156933.05, 'shares': 713, 'entry': False, 'exit': True, 'date': '11-01-2021', 'close': 220.1}]"
VARROC ENGINEERING PVT LTD,541578,0.5649422991822604,"[{'investment': 99768.95000000001, 'shares': 367, 'entry': True, 'exit': False, 'date': '19-08-2020', 'close': 271.85}, {'investment': 156132.65, 'shares': 367, 'entry': False, 'exit': True, 'date': '03-12-2020', 'close': 424.8}]"
PERSISTENT SYSTEMS LTD,533179,0.5639754662661159,"[{'investment': 99862.5, 'shares': 150, 'entry': True, 'exit': False, 'date': '14-11-2019', 'close': 665.75}, {'investment': 156182.5, 'shares': 150, 'entry': False, 'exit': True, 'date': '21-08-2020', 'close': 1040.3}]"
MAX FINANCIAL SERVICES LTD,500271,0.5455466377310063,"[{'investment': 99899.8, 'shares': 182, 'entry': True, 'exit': False, 'date': '05-08-2020', 'close': 548.9}, {'investment': 154399.8, 'shares': 182, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 847.8}]"
GRAPHITE INDIA LTD,509488,0.5442514574072905,"[{'investment': 99954.90000000001, 'shares': 846, 'entry': True, 'exit': False, 'date': '27-03-2020', 'close': 118.15}, {'investment': 154355.5, 'shares': 846, 'entry': False, 'exit': True, 'date': '20-05-2020', 'close': 182.4}]"
PROCTER  GAMBLE HEALTH LTD,500126,0.5420715905409783,"[{'investment': 98784.0, 'shares': 35, 'entry': True, 'exit': False, 'date': '30-11-2018', 'close': 2822.4}, {'investment': 152332.0, 'shares': 35, 'entry': False, 'exit': True, 'date': '21-05-2019', 'close': 4317.6}]"
INDIAN BANK,532814,0.5329197518511106,"[{'investment': 99940.0, 'shares': 1520, 'entry': True, 'exit': False, 'date': '01-07-2020', 'close': 65.75}, {'investment': 153200.0, 'shares': 1520, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 100.75}]"
MINDA INDUSTRIES LTD,532539,0.5328933343565868,"[{'investment': 99682.05, 'shares': 291, 'entry': True, 'exit': False, 'date': '06-12-2019', 'close': 342.55}, {'investment': 152801.95, 'shares': 291, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 524.0}]"
INDIABULLS HOUSING FINANCE LTD,535789,0.5286168261178366,"[{'investment': 99946.09999999999, 'shares': 1006, 'entry': True, 'exit': False, 'date': '01-04-2020', 'close': 99.35}, {'investment': 205428.8, 'shares': 1006, 'entry': False, 'exit': True, 'date': '19-06-2020', 'close': 204.15}, {'investment': 205300.5, 'shares': 1245, 'entry': True, 'exit': False, 'date': '15-04-2021', 'close': 164.9}, {'investment': 205677.8, 'shares': 1245, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 165.1}]"
BANK OF MAHARASHTRA,532525,0.5218831511737694,"[{'investment': 99985.59999999999, 'shares': 6688, 'entry': True, 'exit': False, 'date': '21-06-2019', 'close': 14.95}, {'investment': 152166.40000000002, 'shares': 6688, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 22.75}]"
ABB INDIA LTD,500002,0.5108564438829732,"[{'investment': 99738.0, 'shares': 108, 'entry': True, 'exit': False, 'date': '01-04-2020', 'close': 923.5}, {'investment': 150689.8, 'shares': 108, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1392.85}]"
CENTRAL BANK OF INDIA,532885,0.5102962536857699,"[{'investment': 99992.68, 'shares': 9293, 'entry': True, 'exit': False, 'date': '15-10-2020', 'close': 10.76}, {'investment': 151018.57, 'shares': 9293, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 16.25}]"
BANK OF BARODA,532134,0.4874589835934373,"[{'investment': 99960.0, 'shares': 2352, 'entry': True, 'exit': False, 'date': '07-05-2020', 'close': 42.5}, {'investment': 148686.4, 'shares': 2352, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 63.2}]"
ATUL LTD,500027,0.47133719759338955,"[{'investment': 97162.8, 'shares': 28, 'entry': True, 'exit': False, 'date': '19-12-2018', 'close': 3470.1}, {'investment': 110180.79999999999, 'shares': 28, 'entry': False, 'exit': True, 'date': '30-03-2020', 'close': 3833.7}, {'investment': 109415.8, 'shares': 26, 'entry': True, 'exit': False, 'date': '19-05-2020', 'close': 4208.3}, {'investment': 197899.59999999998, 'shares': 26, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 7582.1}]"
VMART RETAIL LTD,534976,0.4689360692082763,"[{'investment': 99005.5, 'shares': 55, 'entry': True, 'exit': False, 'date': '05-08-2019', 'close': 1800.1}, {'investment': 145432.75, 'shares': 55, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2626.15}]"
