code,company,actual,predicted,minimun,maximum
538962,MINDA CORPORATION LTD,0.12726607532728168,0.33415371152269463,,0.15359585281961033
532899,KAVERI SEED COMPANY LTD,0.12629414685231063,0.2042972368113184,0.12510526185180973,0.13737217151705175
534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD,0.12481539117664321,0.15318950528520922,0.1121413174382731,0.14142385704567695
532187,INDUSIND BANK LTD,0.12222234064917092,0.21678181475781366,0.11506076529112719,0.13705542063776135
531768,POLY MEDICURE LTD,0.12139293093528021,0.2219386709860277,0.10603946359610454,0.1411948666344478
532947,IRB INFRASTRUCTURE DEVELOPERS LTD,0.1213118350643768,0.25777210777137505,0.10645232720200447,0.14453802890310688
506590,PHILLIPS CARBON BLACK LTD,0.12126924153466975,0.27724214627384136,0.11847501892373108,0.1417345958543925
532555,NATIONAL THERMAL POWER CORP LTD,0.1204872476269663,0.18539901727812003,0.11807366780337222,0.13025773957415465
524200,VINATI ORGANICS LTD,0.11898369274133906,0.24126529248257997,0.11734541768212,0.13468947984363816
514162,WELSPUN INDIA LTD,0.11825378768364884,0.25496817621362006,0.11465322339722055,0.1366171773538332
506767,ALKYL AMINES CHEMICALS LTD,0.11696683254021518,0.28901473136338296,0.10389096975697489,0.1474133449367275
535648,JUST DIAL LTD,0.11629159108991799,0.3592807163392485,0.11079207284878785,0.1456040927775201
500459,PROCTER  GAMBLE HYGIENE  HEALTH CARE LTD,0.114210440776288,0.07597109580330481,0.1076744465359502,0.11562620645453206
535755,ADITYA BIRLA FASHION AND RETAIL LTD,0.11275105993898263,0.1245672970210757,0.11031051249557187,0.1187050830506401
539844,EQUITAS HOLDINGS LTD,0.11250475294682702,0.1983506740147862,,0.12216282708807058
532978,BAJAJ FINSERV LTD,0.11146458114215271,0.3150497437022478,0.10979939843070323,0.13536743738425303
500265,MAHARASHTRA SEAMLESS LTD,0.10839876707436585,0.19241176429509085,0.10641192930715548,0.11797442209909594
506820,ASTRAZENECA PHARMA INDIA LTD,0.10754878763235451,0.39673000519144486,,0.1386498769868828
