average_return_percent,simulation_result,actual_returns,predicted_returns,predicted_returns_percent,code,company
0.19908047411503432,"[{'investment': 99999.36, 'shares': 15432, 'entry': True, 'exit': False, 'date': '29-10-2020', 'close': 6.48, 'predictedub': 1.116358258007011}, {'investment': 119907.28, 'shares': 15432, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 7.77, 'predictedub': 1.1367262633011928}]",119906.64,112950.75332731169,0.12951476216759475,532218,SOUTH INDIAN BANK LTD
0.18987213456983426,"[{'investment': 99636.0, 'shares': 69, 'entry': True, 'exit': False, 'date': '28-10-2020', 'close': 1444.0, 'predictedub': 1.2560251635123785}, {'investment': 118554.1, 'shares': 69, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1712.9, 'predictedub': 1.1475559989619422}]",118190.1,129064.85020306362,0.29536362562792184,509243,TVS SRICHAKRA LTD
0.1806533181855521,"[{'investment': 99816.6, 'shares': 201, 'entry': True, 'exit': False, 'date': '18-03-2021', 'close': 496.6, 'predictedub': 1.1297634132316614}, {'investment': 117848.79999999999, 'shares': 201, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 585.4, 'predictedub': 1.1369455872009138}]",117665.4,112769.14271317945,0.12976341323166124,532899,KAVERI SEED COMPANY LTD
0.15472342152476293,"[{'investment': 99548.59999999999, 'shares': 38, 'entry': True, 'exit': False, 'date': '05-01-2021', 'close': 2619.7, 'predictedub': 1.1431109734456384}, {'investment': 114951.1, 'shares': 38, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 3013.15, 'predictedub': 1.1282388943042394}]",114499.7,113795.09705115047,0.14311097344563842,532504,NAVIN FLUORINE INTERNATIONAL LTD
0.14272985058730508,"[{'investment': 99994.85, 'shares': 2503, 'entry': True, 'exit': False, 'date': '09-12-2020', 'close': 39.95, 'predictedub': 1.0757196462519316}, {'investment': 114267.09999999999, 'shares': 2503, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 45.65, 'predictedub': 1.0823851467055996}]",114261.95,107566.42466901497,0.07571964625193164,532659,IDFC LTD
0.1060151342954787,"[{'investment': 99912.15, 'shares': 27, 'entry': True, 'exit': False, 'date': '15-12-2020', 'close': 3700.45, 'predictedub': 1.1006607432321136}, {'investment': 110504.35, 'shares': 27, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 4089.5, 'predictedub': 1.093458154093773}]",110416.5,109969.38127691842,0.10066074323211362,505255,GMM PFAUDLER LTD
0.10418862882141511,"[{'investment': 99982.59999999999, 'shares': 3649, 'entry': True, 'exit': False, 'date': '22-10-2020', 'close': 27.4, 'predictedub': 1.333813323044741}, {'investment': 110399.65000000001, 'shares': 3649, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 30.25, 'predictedub': 1.635905642631304}]",110382.25,135731.5824947821,0.35755203900260774,541233,LEMON TREE HOTELS LTD
0.09223528592723645,"[{'investment': 97675.2, 'shares': 42, 'entry': True, 'exit': False, 'date': '24-02-2021', 'close': 2325.6, 'predictedub': 1.1897816653326276}, {'investment': 106684.3, 'shares': 42, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2484.75, 'predictedub': 1.1933628138151164}]",104359.5,118155.38360386039,0.20967639281885664,541557,FINE ORGANIC INDUSTRIES LTD
0.09005044920699287,"[{'investment': 99258.25, 'shares': 65, 'entry': True, 'exit': False, 'date': '23-11-2020', 'close': 1527.05, 'predictedub': 1.3018396761613875}, {'investment': 108196.5, 'shares': 65, 'entry': False, 'exit': True, 'date': '02-12-2020', 'close': 1653.15, 'predictedub': 1.0036674904094325}]",107454.75,129218.32803634604,0.3018396761613874,541988,AAVAS FINANCIERS LTD
0.08795896155446706,"[{'investment': 99964.8, 'shares': 1424, 'entry': True, 'exit': False, 'date': '01-12-2020', 'close': 70.2, 'predictedub': 1.0854713174971329}, {'investment': 108757.59999999999, 'shares': 1424, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 76.35, 'predictedub': 1.0892303815321784}]",108722.4,130261.13855075135,0.30307006617080556,539844,EQUITAS HOLDINGS LTD
