Date,Open,High,Low,Close
30-August-2012,6622.22,6679.59,6600.27,6663.60,
31-August-2012,6660.15,6670.40,6596.78,6632.34,
3-September-2012,6640.17,6662.49,6605.35,6616.57,
4-September-2012,6613.59,6649.52,6600.04,6645.79,
5-September-2012,6623.93,6635.72,6582.88,6595.55,
6-September-2012,6593.76,6640.10,6592.41,6613.49,
7-September-2012,6689.50,6725.81,6689.50,6721.37,
8-September-2012,6722.81,6755.41,6722.81,6748.41,
10-September-2012,6763.18,6770.53,6741.94,6756.37,
11-September-2012,6735.24,6787.60,6733.86,6784.60,
12-September-2012,6808.18,6828.88,6789.52,6825.33,
13-September-2012,6837.27,6849.93,6814.85,6823.79,
14-September-2012,6925.11,6970.38,6925.11,6961.31,
17-September-2012,7032.35,7050.97,6980.77,7016.58,
18-September-2012,7010.77,7050.90,7003.39,7029.41,
20-September-2012,6970.21,7015.38,6967.73,6979.94,
21-September-2012,7008.54,7157.09,7008.54,7131.84,
24-September-2012,7137.84,7174.07,7116.64,7124.49,
25-September-2012,7141.21,7170.75,7110.08,7140.64,
26-September-2012,7121.59,7152.90,7108.04,7133.26,
27-September-2012,7147.37,7178.88,7122.52,7132.46,
28-September-2012,7176.67,7243.40,7176.67,7206.51,
1-October-2012,7221.74,7245.63,7210.57,7241.46,
3-October-2012,7252.86,7280.66,7245.45,7267.59,
4-October-2012,7297.28,7357.76,7297.28,7328.47,
5-October-2012,7351.52,7364.54,7221.57,7279.23,
8-October-2012,7281.30,7282.04,7194.53,7204.03,
9-October-2012,7238.66,7271.05,7210.09,7239.27,
10-October-2012,7210.40,7224.00,7162.79,7168.19,
11-October-2012,7169.72,7253.65,7149.67,7241.41,
12-October-2012,7223.94,7278.43,7206.23,7213.64,
15-October-2012,7210.93,7231.73,7192.47,7222.15,
16-October-2012,7243.72,7258.79,7163.23,7172.10,
17-October-2012,7205.23,7216.40,7155.81,7182.81,
18-October-2012,7199.28,7261.40,7183.66,7257.70,
19-October-2012,7246.69,7257.78,7189.70,7214.02,
22-October-2012,7202.69,7249.95,7188.62,7244.33,
23-October-2012,7245.57,7259.36,7210.96,7215.23,
25-October-2012,7217.45,7239.44,7210.68,7231.17,
26-October-2012,7217.52,7228.14,7148.12,7168.43,
29-October-2012,7178.94,7207.66,7139.63,7160.95,
30-October-2012,7160.94,7188.83,7070.76,7079.19,
31-October-2012,7086.30,7124.35,7071.17,7118.77,
1-November-2012,7120.24,7166.70,7109.99,7158.58,
2-November-2012,7208.96,7236.62,7208.93,7220.81,
5-November-2012,7217.97,7235.85,7196.12,7218.84,
6-November-2012,7218.73,7250.66,7216.99,7247.43,
7-November-2012,7250.27,7315.14,7242.67,7292.76,
8-November-2012,7242.69,7285.88,7236.96,7279.68,
9-November-2012,7281.70,7307.78,7213.06,7218.32,
12-November-2012,7226.08,7250.80,7209.00,7234.16,
13-November-2012,7247.20,7247.97,7224.08,7233.14,
15-November-2012,7210.06,7210.06,7164.66,7196.35,
16-November-2012,7204.82,7224.67,7109.29,7123.69,
19-November-2012,7136.28,7149.30,7081.99,7103.82,
20-November-2012,7136.71,7147.11,7057.34,7082.19,
21-November-2012,7100.10,7131.15,7071.65,7126.76,
22-November-2012,7146.58,7169.59,7126.59,7152.87,
23-November-2012,7165.63,7169.83,7118.72,7151.70,
26-November-2012,7177.16,7200.18,7170.59,7184.91,
27-November-2012,7214.52,7298.04,7214.52,7291.07,
29-November-2012,7304.44,7410.24,7304.44,7402.20,
30-November-2012,7425.98,7478.35,7416.66,7472.45,
3-December-2012,7480.17,7508.27,7467.31,7489.49,
4-December-2012,7487.71,7525.19,7479.76,7513.99,
5-December-2012,7540.06,7559.34,7528.00,7533.65,
