Security Code,Security Name
530965,Indian Oil Corpn. Ltd.
531162,Emami Ltd.
531213,Manappuram Finance Ltd.
531335,Zydus Wellness Ltd.
531344,Container Corpn. Of India Ltd.
531500,Rajesh Exports Ltd.
531595,Capri Global Capital Ltd.
531599,FDC Ltd.
531642,Marico Ltd.
531768,Poly Medicure Ltd.
532134,Bank Of Baroda
532144,Welspun Corp Ltd.
532149,Bank of India
532155,GAIL (India) Ltd.
532156,Vaibhav Global Ltd.
532162,JK Paper Ltd.
532174,ICICI Bank Ltd.
532175,Cyient Limited
532178,Engineers India Ltd.
532181,Gujarat Mineral Devp. Corpn. Ltd.
532187,Indusind Bank Ltd.
532189,India Tourism Devp. Corpn. Ltd.
532209,Jammu & Kashmir Bank Ltd.
532210,City Union Bank Ltd.
532215,Axis Bank Ltd.
532218,South Indian Bank Ltd.
532221,Sonata Software Ltd.
532234,National Aluminium Co. Ltd.
532281,HCL Technologies Ltd.
532286,Jindal Steel & Power Ltd.
532296,Glenmark Pharmaceuticals Ltd.
532300,Wockhardt Ltd.
532301,Tata Coffee Ltd.
532309,GE Power India Ltd.
532313,Mahindra Lifespace Developers Ltd.
532321,Cadila Healthcare Ltd.
532331,Ajanta Pharma Ltd.
532343,TVS Motor Co. Ltd.
532374,Sterlite Technologies Ltd.
532388,Indian Overseas Bank
532400,Birlasoft Ltd.
532424,Godrej Consumer Products Ltd.
532443,Cera Sanitaryware Ltd.
532454,Bharti Airtel Ltd.
532461,Punjab National Bank
532466,Oracle Financial Services Software Ltd.
532477,Union Bank of India
532478,United Breweries Ltd.
532482,Granules India Ltd.
532483,Canara Bank
532488,Divi's Laboratories Ltd.
532497,Radico Khaitan Ltd.
532498,Shriram City Union Finance Ltd.
532500,Maruti Suzuki India Ltd.
532504,Navin Fluorine International Ltd.
532505,UCO Bank
532508,Jindal Stainless Ltd.
532509,Suprajit Engineering Ltd.
532514,Indraprastha Gas Ltd.
532515,TV Today Network Ltd.
532522,Petronet LNG Ltd.
532523,Biocon Ltd.
532524,PTC India Ltd.
532525,Bank of Maharashtra
532531,Strides Pharma Science Ltd.
532538,Ultratech Cement Ltd.
532539,Minda Industries Ltd.
532540,Tata Consultancy Services Ltd.
532541,Coforge Ltd.
532548,Century Plyboards (India) Ltd.
532555,National Thermal Power Corp. Ltd.
532612,Indoco Remedies Ltd.
532622,Gateway Distriparks Ltd.
532636,IIFL Finance Ltd.
532638,Shoppers Stop Ltd.
532644,JK Cement Ltd
532652,Karnataka Bank Ltd.
532659,IDFC Ltd.
532667,Suzlon Energy Ltd.
532683,AIA Engineering Ltd.
532689,PVR Ltd.
532702,Gujarat State Petronet Ltd.
532705,Jagran Prakashan Ltd.
532706,INOX Leisure Ltd.
532714,KEC International Ltd.
532720,Mahindra & Mahindra Financial Services Ltd.
532725,Solar Industries India Ltd.
532733,Sun TV Network Ltd.
532749,Allcargo Logistics Ltd.
532754,GMR Infrastructure Ltd
532755,Tech Mahindra Ltd.
532756,Mahindra CIE Automotive Ltd.
532772,DCB Bank Ltd.
532777,Info Edge (India) Ltd.
532779,Torrent Power Ltd.
532784,Sobha Ltd.
532790,Tanla Platforms Ltd.
532798,Network 18 Media & Investments Ltd.
532800,TV18 Broadcast Ltd.
532805,Redington India Ltd.
532809,Firstsource Solutions Ltd.
532810,Power Finance Corpn. Ltd.
532814,Indian Bank
532819,MindTree Ltd.
532822,Vodafone Idea Ltd.
532827,Page Industries Ltd.
532830,Astral Ltd.
